country,forecast_date,predicted_tws,step
AFG,2025-08-01,4.5554485,1
AFG,2025-09-01,3.8435652,2
AFG,2025-10-01,3.7699232,3
AFG,2025-11-01,3.9901066,4
AFG,2025-12-01,3.3055215,5
AFG,2026-01-01,2.93783,6
AGO,2025-08-01,20.015764,1
AGO,2025-09-01,22.274849,2
AGO,2025-10-01,22.206984,3
AGO,2025-11-01,24.900902,4
AGO,2025-12-01,25.2189,5
AGO,2026-01-01,23.819048,6
ALB,2025-08-01,5.343659,1
ALB,2025-09-01,4.2404666,2
ALB,2025-10-01,3.636468,3
ALB,2025-11-01,4.021293,4
ALB,2025-12-01,3.5940247,5
ALB,2026-01-01,3.1985247,6
ARE,2025-08-01,4.921027,1
ARE,2025-09-01,4.325616,2
ARE,2025-10-01,4.3856874,3
ARE,2025-11-01,4.427402,4
ARE,2025-12-01,3.8887234,5
ARE,2026-01-01,3.3537252,6
ARG,2025-08-01,4.2316823,1
ARG,2025-09-01,5.2321105,2
ARG,2025-10-01,5.0907664,3
ARG,2025-11-01,4.437811,4
ARG,2025-12-01,3.6439114,5
ARG,2026-01-01,3.673416,6
ARM,2025-08-01,5.606764,1
ARM,2025-09-01,4.740364,2
ARM,2025-10-01,4.6362977,3
ARM,2025-11-01,5.100996,4
ARM,2025-12-01,4.3427444,5
ARM,2026-01-01,3.8766105,6
ATA,2025-08-01,-10.399274,1
ATA,2025-09-01,-8.281001,2
ATA,2025-10-01,-5.719908,3
ATA,2025-11-01,-3.9290156,4
ATA,2025-12-01,-2.8082082,5
ATA,2026-01-01,-2.007171,6
ATF,2025-08-01,2.226698,1
ATF,2025-09-01,4.1069813,2
ATF,2025-10-01,4.8587165,3
ATF,2025-11-01,3.8100328,4
ATF,2025-12-01,2.8862557,5
ATF,2026-01-01,2.787012,6
AUS,2025-08-01,6.1894627,1
AUS,2025-09-01,4.90784,2
AUS,2025-10-01,4.9759903,3
AUS,2025-11-01,5.561261,4
AUS,2025-12-01,4.9865775,5
AUS,2026-01-01,4.50854,6
AUT,2025-08-01,4.173546,1
AUT,2025-09-01,3.9454198,2
AUT,2025-10-01,3.7387357,3
AUT,2025-11-01,3.714106,4
AUT,2025-12-01,3.1172671,5
AUT,2026-01-01,2.787012,6
AZE,2025-08-01,5.147631,1
AZE,2025-09-01,4.728267,2
AZE,2025-10-01,4.6362977,3
AZE,2025-11-01,5.0877357,4
AZE,2025-12-01,4.3302417,5
AZE,2026-01-01,3.8766105,6
BDI,2025-08-01,25.192091,1
BDI,2025-09-01,24.30974,2
BDI,2025-10-01,24.690432,3
BDI,2025-11-01,26.855408,4
BDI,2025-12-01,28.768818,5
BDI,2026-01-01,25.69524,6
BEL,2025-08-01,3.4680662,1
BEL,2025-09-01,3.6709013,2
BEL,2025-10-01,3.51975,3
BEL,2025-11-01,3.3492498,4
BEL,2025-12-01,2.7770534,5
BEL,2026-01-01,2.5759797,6
BEN,2025-08-01,5.2270374,1
BEN,2025-09-01,4.7128887,2
BEN,2025-10-01,4.8459535,3
BEN,2025-11-01,4.9001703,4
BEN,2025-12-01,4.3427444,5
BEN,2026-01-01,3.8766105,6
BFA,2025-08-01,5.12767,1
BFA,2025-09-01,4.493902,2
BFA,2025-10-01,4.243018,3
BFA,2025-11-01,4.3152313,4
BFA,2025-12-01,3.8887234,5
BFA,2026-01-01,3.3537252,6
BGD,2025-08-01,4.779609,1
BGD,2025-09-01,4.3038306,2
BGD,2025-10-01,4.1760316,3
BGD,2025-11-01,4.0890136,4
BGD,2025-12-01,3.581522,5
BGD,2026-01-01,3.1985247,6
BGR,2025-08-01,5.0693026,1
BGR,2025-09-01,3.9981542,2
BGR,2025-10-01,3.485787,3
BGR,2025-11-01,3.8660932,4
BGR,2025-12-01,3.4826155,5
BGR,2026-01-01,3.0558562,6
BHS,2025-08-01,4.748591,1
BHS,2025-09-01,4.765922,2
BHS,2025-10-01,5.103269,3
BHS,2025-11-01,4.5804806,4
BHS,2025-12-01,3.7295003,5
BHS,2026-01-01,3.660913,6
BIH,2025-08-01,3.5226007,1
BIH,2025-09-01,3.2775254,2
BIH,2025-10-01,3.2465234,3
BIH,2025-11-01,3.2312236,4
BIH,2025-12-01,2.7770534,5
BIH,2026-01-01,2.5759797,6
BLR,2025-08-01,3.883281,1
BLR,2025-09-01,3.8184407,2
BLR,2025-10-01,3.3556929,3
BLR,2025-11-01,3.2982106,4
BLR,2025-12-01,2.8440404,5
BLR,2026-01-01,2.787012,6
BLZ,2025-08-01,5.2088566,1
BLZ,2025-09-01,4.765922,2
BLZ,2025-10-01,5.134456,3
BLZ,2025-11-01,4.9001703,4
BLZ,2025-12-01,4.3427444,5
BLZ,2026-01-01,4.067022,6
BOL,2025-08-01,3.5916133,1
BOL,2025-09-01,3.15032,2
BOL,2025-10-01,2.921822,3
BOL,2025-11-01,3.1473927,4
BOL,2025-12-01,2.6262355,5
BOL,2026-01-01,2.5000374,6
BRA,2025-08-01,9.20586,1
BRA,2025-09-01,4.957251,2
BRA,2025-10-01,5.039863,3
BRA,2025-11-01,6.7655263,4
BRA,2025-12-01,6.0608277,5
BRA,2026-01-01,4.891793,6
BRN,2025-08-01,1.710732,1
BRN,2025-09-01,4.930483,2
BRN,2025-10-01,6.5124984,3
BRN,2025-11-01,5.1456532,4
BRN,2025-12-01,3.7032146,5
BRN,2026-01-01,3.7079048,6
BTN,2025-08-01,3.7453861,1
BTN,2025-09-01,3.3718438,2
BTN,2025-10-01,3.2465234,3
BTN,2025-11-01,3.2982106,4
BTN,2025-12-01,2.8440404,5
BTN,2026-01-01,2.720025,6
BWA,2025-08-01,1.6596869,1
BWA,2025-09-01,1.5607938,2
BWA,2025-10-01,1.7611802,3
BWA,2025-11-01,1.49964,4
BWA,2025-12-01,1.3010722,5
BWA,2026-01-01,1.0373174,6
CAF,2025-08-01,-0.7145511,1
CAF,2025-09-01,1.2547022,2
CAF,2025-10-01,5.82804,3
CAF,2025-11-01,5.263524,4
CAF,2025-12-01,3.2441287,5
CAF,2026-01-01,2.6129405,6
CAN,2025-08-01,-13.512252,1
CAN,2025-09-01,-6.050409,2
CAN,2025-10-01,-3.5611823,3
CAN,2025-11-01,-1.581301,4
CAN,2025-12-01,-0.20459022,5
CAN,2026-01-01,-0.06749911,6
CHE,2025-08-01,3.1050353,1
CHE,2025-09-01,3.2908385,2
CHE,2025-10-01,3.2522018,3
CHE,2025-11-01,3.2312236,4
CHE,2025-12-01,2.7770534,5
CHE,2026-01-01,2.5759797,6
CHL,2025-08-01,1.0119144,1
CHL,2025-09-01,1.5634995,2
CHL,2025-10-01,1.8763366,3
CHL,2025-11-01,1.461188,4
CHL,2025-12-01,1.1360604,5
CHL,2026-01-01,0.94005656,6
CHN,2025-08-01,2.6767232,1
CHN,2025-09-01,2.7774775,2
CHN,2025-10-01,2.6200922,3
CHN,2025-11-01,2.4631288,4
CHN,2025-12-01,2.0812783,5
CHN,2026-01-01,2.0413804,6
CIV,2025-08-01,5.1397667,1
CIV,2025-09-01,4.601241,2
CIV,2025-10-01,4.1760316,3
CIV,2025-11-01,4.132703,4
CIV,2025-12-01,3.581522,5
CIV,2026-01-01,3.3153012,6
CMR,2025-08-01,11.124995,1
CMR,2025-09-01,12.165779,2
CMR,2025-10-01,13.418449,3
CMR,2025-11-01,13.261558,4
CMR,2025-12-01,13.44822,5
CMR,2026-01-01,11.75685,6
COD,2025-08-01,6.156204,1
COD,2025-09-01,5.111447,2
COD,2025-10-01,4.6362977,3
COD,2025-11-01,4.6392784,4
COD,2025-12-01,4.257575,5
COD,2026-01-01,4.035835,6
COG,2025-08-01,-0.30110213,1
COG,2025-09-01,-0.016010685,2
COG,2025-10-01,0.63298774,3
COG,2025-11-01,0.5993621,4
COG,2025-12-01,0.41538012,5
COG,2026-01-01,0.40475634,6
COL,2025-08-01,-1.3631513,1
COL,2025-09-01,0.31913942,2
COL,2025-10-01,5.32265,3
COL,2025-11-01,3.8207908,4
COL,2025-12-01,2.1594625,5
COL,2026-01-01,1.8160734,6
COM,2025-08-01,3.174274,1
COM,2025-09-01,3.7489,2
COM,2025-10-01,3.657549,3
COM,2025-11-01,3.2854648,4
COM,2025-12-01,2.7770534,5
COM,2026-01-01,2.6429667,6
CPV,2025-08-01,4.588084,1
CPV,2025-09-01,3.9717813,2
CPV,2025-10-01,3.8057222,3
CPV,2025-11-01,3.9901066,4
CPV,2025-12-01,3.422298,5
CPV,2026-01-01,2.93783,6
CRI,2025-08-01,4.2840195,1
CRI,2025-09-01,4.0336366,2
CRI,2025-10-01,3.9046288,3
CRI,2025-11-01,3.714106,4
CRI,2025-12-01,3.206615,5
CRI,2026-01-01,2.787012,6
CUB,2025-08-01,5.2213593,1
CUB,2025-09-01,4.832908,2
CUB,2025-10-01,5.134456,3
CUB,2025-11-01,4.8876677,4
CUB,2025-12-01,4.3427444,5
CUB,2026-01-01,4.067022,6
CYP,2025-08-01,7.8939342,1
CYP,2025-09-01,5.741283,2
CYP,2025-10-01,5.1408324,3
CYP,2025-11-01,6.181224,4
CYP,2025-12-01,5.5927854,5
CYP,2026-01-01,4.719253,6
CZE,2025-08-01,3.8921108,1
CZE,2025-09-01,3.9687707,2
CZE,2025-10-01,3.51975,3
CZE,2025-11-01,3.3492498,4
CZE,2025-12-01,2.8440404,5
CZE,2026-01-01,2.787012,6
DEU,2025-08-01,3.618884,1
DEU,2025-09-01,4.085548,2
DEU,2025-10-01,3.6186566,3
DEU,2025-11-01,3.5044503,4
DEU,2025-12-01,2.8950796,5
DEU,2026-01-01,2.787012,6
DJI,2025-08-01,3.4308107,1
DJI,2025-09-01,3.028801,2
DJI,2025-10-01,3.314691,3
DJI,2025-11-01,3.2312236,4
DJI,2025-12-01,2.7770534,5
DJI,2026-01-01,2.5759797,6
DNK,2025-08-01,3.6475751,1
